Faculty,Department Code,Department,Program Abbreviation,Program Name
Faculty of Management Sciences,111301,Lahore Business School,BSHRA-LHR,Bachelor of Science in Human Resource Analytics
Faculty of Management Sciences,111301,Lahore Business School,BSSCA-LHR,Bachelor of Science in Supply Chain Analytics
Faculty of Management Sciences,111301,Lahore Business School,CACF-LHR,Certificate in Accounting and Finance
Faculty of Management Sciences,111301,Lahore Business School,CTAX-LHR,Certificate in Taxation
Faculty of Management Sciences,111301,Lahore Business School,DIAF-LHR,Diploma in Accounting and Finance
Faculty of Management Sciences,111301,Lahore Business School,DTAX-LHR,Diploma in Taxation
Faculty of Management Sciences,111301,Lahore Business School,DG-LHR,Doctor of Philosophy in Human Resource Development
Faculty of Management Sciences,111301,Lahore Business School,DMG-LHR,Doctor of Philosophy in Management
Faculty of Management Sciences,111301,Lahore Business School,MSMG-LHR,MS Management
Faculty of Management Sciences,111301,Lahore Business School,MHR-LHR,MSc Human Resource Management
Faculty of Management Sciences,111301,Lahore Business School,MSAIDA-LHR,MSc in Applied Artificial Intelligence and Data Analytics(1+2)
Faculty of Management Sciences,111301,Lahore Business School,MPM-LHR,Master in Project Management
Faculty of Management Sciences,111301,Lahore Business School,MHP-LHR,Master in Public Health
Faculty of Management Sciences,111301,Lahore Business School,MBA-LHR,Master of Business Administration
Faculty of Management Sciences,111301,Lahore Business School,MBPM-LHR,Master of Business Administration - 1.5 Years - Project Managment
Faculty of Management Sciences,111301,Lahore Business School,MBA1Y-LHR,Master of Business Administration - 1.5 Year
Faculty of Management Sciences,111301,Lahore Business School,MBEPM-LHR,Master of Business Administration - 1.5 Years - Project Management
Faculty of Management Sciences,111301,Lahore Business School,MBEIE-LHR,Master of Business Administration - 1.5 Years-Innovation and
Faculty of Management Sciences,111301,Lahore Business School,MBA2Y-LHR,Master of Business Administration - 2 Years
Faculty of Management Sciences,111301,Lahore Business School,MB2.5-LHR,Master of Business Administration - 2.5  Years
Faculty of Management Sciences,111301,Lahore Business School,MBA3Y-LHR,Master of Business Administration - 3 Years
Faculty of Management Sciences,111301,Lahore Business School,MB3.5-LHR,Master of Business Administration - 3.5 Years
Faculty of Management Sciences,111301,Lahore Business School,MBE-LHR,Master of Business Administration Executive
Faculty of Management Sciences,111301,Lahore Business School,MMA-LHR,Master of Business Administration-After 4 Year BBA
Faculty of Management Sciences,111301,Lahore Business School,MFD-LHR,Master of Management in Textile and Fashion Designing
Faculty of Management Sciences,111301,Lahore Business School,PBA-LHR,Master of Philosophy in Management Sciences
Faculty of Management Sciences,111301,Lahore Business School,PM-LHR,Master of Public Management
Faculty of Management Sciences,111301,Lahore Business School,MSDM-LHR,Master of Science in Digital Marketing
Faculty of Management Sciences,111301,Lahore Business School,MSECM-LHR,Master of Science in E-Commerce
Faculty of Management Sciences,111301,Lahore Business School,MSEM-LHR,Master of Science in Engineering Management
Faculty of Management Sciences,111301,Lahore Business School,MSPM-LHR,Master of Science in Project Management
Faculty of Management Sciences,111301,Lahore Business School,MSHRA-LHR,Master of Science in Strategic Human Resource Analytics
Faculty of Management Sciences,111301,Lahore Business School,MSSCM-LHR,Master of Science in Supply Chain Management
Faculty of Management Sciences,111301,Lahore Business School,MSBA-LHR,Masters of Science in Management Sciences
Faculty of Management Sciences,111301,Lahore Business School,PGDAF-LHR,Post Graduate Diploma in Accounting and Finance
Faculty of Management Sciences,111301,Lahore Business School,PGDBA-LHR,Post Graduate Diploma in Business Administration
Faculty of Management Sciences,111301,Lahore Business School,PGDCD-LHR,Postgraduate Diploma for Corporate Directorship
Faculty of Management Sciences,111301,Lahore Business School,PGIBF-LHR,Postgraduate Diploma in Islamic Banking and Finance
Faculty of Management Sciences,111302,Lahore School of Aviation,BSAMT-LHR,Bachelor of Science in Aircraft Maintenance Technology
Faculty of Management Sciences,111302,Lahore School of Aviation,BSAM-LHR,Bachelor of Science in Aviation Management (Hons)
Faculty of Management Sciences,113001,School of Accountancy & Finance,BCMA-LHR,Bachelor of Commerce (Associate Degree) - 2 Years
Faculty of Management Sciences,113001,School of Accountancy & Finance,BCOM-LHR,Bachelor of Commerce (Associate Degree) - 2 Years
Faculty of Management Sciences,113001,School of Accountancy & Finance,BAF-LHR,Bachelor of Science in Accountancy and Finance
Faculty of Management Sciences,113001,School of Accountancy & Finance,DAF-LHR,Doctor of Philosophy in Accounting and Finance
Faculty of Management Sciences,113001,School of Accountancy & Finance,MCM-LHR,Master of Commerce
Faculty of Management Sciences,113001,School of Accountancy & Finance,M.COM-LHR,Master of Commerce - 2 Years
Faculty of Management Sciences,113001,School of Accountancy & Finance,PAF-LHR,Master of Philosophy in Accounting and Finance
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSAF-LHR,Master of Science in Accountancy and Finance - 3.5 Years (No
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSACT-LHR,Master of Science in Accountancy and Finance - 3 Years (Comm
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSNC-LHR,Master of Science in Accountancy and Finance - 2.5 Years (No
Faculty of Management Sciences,113001,School of Accountancy & Finance,MAF-LHR,Master of Science in Accounting and Finance
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSA-LHR,Master of Science in Accounting and Finance - 2 Years (Comme
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSCF-LHR,Master of Science in Accounting and Finance
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSF-LHR,Master of Science in Accounting and Finance - 1.5 Years
Faculty of Management Sciences,113001,School of Accountancy & Finance,MSFN-LHR,Master of Science in Accounting and Finance - 2 Years (Non C
Faculty of Medicine & Dentistry,112103,Department of Medical Education,ALHMT-LHR,Advanced Leadership and Health Management Training
Faculty of Medicine & Dentistry,112103,Department of Medical Education,CBHR-LHR,Certificate in Basic Health Research
Faculty of Medicine & Dentistry,112103,Department of Medical Education,CHPE-LHR,Certificate in Health Professions Education
Faculty of Medicine & Dentistry,112103,Department of Medical Education,CHR-LHR,Certificate in Health Research
Faculty of Medicine & Dentistry,112103,Department of Medical Education,MME-LHR,Master of Science in Medical Education
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,BLS-LHR,Basic Life Support
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,CLSM-LHR,Certificate in LifeStyle Medicine
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,CHSPCC-LHR,Certified HealthCare Simulation Professional Certificate Course
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,DCAIDH-LHR,Diploma in Artifical Intelligence and Digital Health
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,FAM-LHR,Fellowship in Aesthetic Medicine
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,FHT-LHR,Fellowship in Hair Transplant
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,CIFMTP-LHR,International Family Medicine Training Program
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,MSDSS-LHR,Minimum Service Delivery Standards
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,PGCAM-LHR,Post Graduate Certificate in Aesthetic Medicine
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,PGCDB-LHR,Post Graduate Certificate in Diabetology
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,PGCFM-LHR,Post Graduate Certificate in Family Medicine
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,PGVRT-LHR,Post Graduate Certificate in Vascular Access and Renal Transplantation
Faculty of Medicine & Dentistry,112104,Heath Professional Develoment & Lifelong,CITPFM-LHR,Trainning Pathways in Family Medicine
Faculty of Medicine & Dentistry,112102,University College of Dentistry,BDS-LHR,Bachelor of Dental Surgery
Faculty of Medicine & Dentistry,112102,University College of Dentistry,DDH-LHR,Diploma in Dental Hygienist
Faculty of Medicine & Dentistry,112102,University College of Dentistry,DDT-LHR,Diploma in Dental Technician
Faculty of Medicine & Dentistry,112102,University College of Dentistry,FCPSO-LHR,Fellow College of Surgeons and Physicians Orthodontics (FCPS)
Faculty of Medicine & Dentistry,112102,University College of Dentistry,MDS-LHR,Master of Dental Surgery
Faculty of Medicine & Dentistry,112102,University College of Dentistry,MDSO-LHR,Master of Dental Surgery (Operative Dentistry)
Faculty of Medicine & Dentistry,112102,University College of Dentistry,MDSOMF-LHR,Master of Dental Surgery (Oral and Maxillo Facial Surgery)
Faculty of Medicine & Dentistry,112102,University College of Dentistry,MDSOR-LHR,Master of Dental Surgery (Orthodontics)
Faculty of Medicine & Dentistry,112102,University College of Dentistry,MDSPRO-LHR,Master of Dental Surgery (Prosthodontics)
Faculty of Medicine & Dentistry,112101,University College of Medicine,ACAP-LHR,Advanced Course in Assessment Practices
Faculty of Medicine & Dentistry,112101,University College of Medicine,BMS-LHR,Bachelor of Medicine and Bachelor of Surgery
Faculty of Medicine & Dentistry,112101,University College of Medicine,CCE-LHR,Certificate in Clinical Education
Faculty of Medicine & Dentistry,112101,University College of Medicine,DAMA-LHR,Diploma in Aesthetic Medicine
Faculty of Medicine & Dentistry,112101,University College of Medicine,DAMB-LHR,Diploma in Aesthetic Medicine
Faculty of Medicine & Dentistry,112101,University College of Medicine,FS-LHR,Foundation Semester
Faculty of Pharmacy,112301,Department of Pharmacy,BPH-LHR,Bachelor of Pharmacy
Faculty of Pharmacy,112301,Department of Pharmacy,BSPT-LHR,Bachelor of Science in Pharmacology and Toxicology
Faculty of Pharmacy,112301,Department of Pharmacy,BSNHM-LHR,Bachelor of Sciences in Nutraceutical and Herbal Medicine
Faculty of Pharmacy,112301,Department of Pharmacy,CD-LHR,Condensed
Faculty of Pharmacy,112301,Department of Pharmacy,DPHR-LHR,Doctor Of Philosophy In Pharmacology
Faculty of Pharmacy,112301,Department of Pharmacy,PHARM D-LHR,Doctor of Pharmacy
Faculty of Pharmacy,112301,Department of Pharmacy,BPD-LHR,Doctor of Pharmacy
Faculty of Pharmacy,112301,Department of Pharmacy,DPCH-LHR,Doctor of Philosophy in Pharmaceutical Chemistry
Faculty of Pharmacy,112301,Department of Pharmacy,DPCU-LHR,Doctor of Philosophy in Pharmaceutics
Faculty of Pharmacy,112301,Department of Pharmacy,DPP-LHR,Doctor of Philosophy in Pharmacognosy
Faculty of Pharmacy,112301,Department of Pharmacy,DHRP-LHR,Doctor of Philosophy in Pharmacy Practice
Faculty of Pharmacy,112301,Department of Pharmacy,FLETP-LHR,Foreign Licensing Exam Training for Pharmacists
Faculty of Pharmacy,112301,Department of Pharmacy,PHRP-LHR,M. Phil Pharmacy Practice
Faculty of Pharmacy,112301,Department of Pharmacy,PHBT-LHR,M.Phil PHARMACEUTICAL BIOTECHNOLOGY
Faculty of Pharmacy,112301,Department of Pharmacy,PHCLP-LHR,Master of Philosophy in Clinical Pharmacy
Faculty of Pharmacy,112301,Department of Pharmacy,PHRC-LHR,Master of Philosophy in Pharmaceutical Chemistry
Faculty of Pharmacy,112301,Department of Pharmacy,PHPHT-LHR,Master of Philosophy in Pharmaceutical Technology
Faculty of Pharmacy,112301,Department of Pharmacy,PHRM-LHR,Master of Philosophy in Pharmaceutics
Faculty of Pharmacy,112301,Department of Pharmacy,PHMG-LHR,Master of Philosophy in Pharmacognosy
Faculty of Pharmacy,112301,Department of Pharmacy,PHMY-LHR,Master of Philosophy in Pharmacology
Faculty of Language & Literature,111602,Department of Urdu,BSUR-LHR,Bachelor of Studies in Urdu
Faculty of Language & Literature,111602,Department of Urdu,PUD-LHR,Master of Philosophy in Urdu
Faculty of Language & Literature,111601,Dept of English Language and Literature,ACS-LHR,"Advanced Communication Skills: Public Speaking, Reading and Writing"
Faculty of Language & Literature,111601,Dept of English Language and Literature,BSELC-LHR,Bachelor of Science English Language and Communication
Faculty of Language & Literature,111601,Dept of English Language and Literature,BSELL-LHR,Bachelor of Science in English Language and Literature
Faculty of Language & Literature,111601,Dept of English Language and Literature,DET-LHR,Doctor of Philosophy in English
Faculty of Language & Literature,111601,Dept of English Language and Literature,MET-LHR,Master of Arts in English Language Teaching and Linguistics
Faculty of Language & Literature,111601,Dept of English Language and Literature,MEL-LHR,Master of Arts in English Literature
Faculty of Language & Literature,111601,Dept of English Language and Literature,PET-LHR,Master of Philosophy in English Applied Linguistics
Faculty of Language & Literature,111601,Dept of English Language and Literature,PEL-LHR,Master of Philosophy in English Literature
Faculty of Law,111501,M.A Raoof College of Law,BALLB-LHR,Bachelor of Arts in LLB (Hons)
Faculty of Law,111501,M.A Raoof College of Law,ITRET-LHR,Income Tax Return E-Filling Trainning
Faculty of Law,111501,M.A Raoof College of Law,LLB3Y-LHR,LLB 3 Years
Faculty of Arts & Architecture,111401,School of Architecture,BARCH-LHR,Bachelor of Architecture
Faculty of Arts & Architecture,111401,School of Architecture,BINT-LHR,Bachelors of Interior Design
Faculty of Arts & Architecture,111401,School of Architecture,CCAA-LHR,Certificate Course of Autodesk Autocad
Faculty of Arts & Architecture,111401,School of Architecture,CCARA-LHR,Certificate Course of Autodesk Revit Architecture
Faculty of Arts & Architecture,111401,School of Architecture,CCDR-LHR,Certificate Course of Drawing
Faculty of Arts & Architecture,111401,School of Architecture,CCGSL-LHR,Certificate Course of Google Sketchup & Lumion
Faculty of Arts & Architecture,111401,School of Architecture,CCID-LHR,Certificate Course of Interior Design
Faculty of Arts & Architecture,111401,School of Architecture,CCP-LHR,Certificate Course of Painting
Faculty of Arts & Architecture,111401,School of Architecture,MARCH-LHR,Master of Architecture
Faculty of Arts & Architecture,111401,School of Architecture,MIDN-LHR,Master of Interior Design
Faculty of Arts & Architecture,111402,School of Creative Arts,BFAV-LHR,Bachelor of  Fine Arts ( Visual Arts )
Faculty of Arts & Architecture,111402,School of Creative Arts,BAFT-LHR,Bachelor of Arts (Hons) in Film and Television
Faculty of Arts & Architecture,111402,School of Creative Arts,BAMCM-LHR,Bachelor of Arts Mass Communication
Faculty of Arts & Architecture,111402,School of Creative Arts,BSMC-LHR,Bachelor of Science (Hons) in Media Communication
Faculty of Arts & Architecture,111402,School of Creative Arts,BSVFX-LHR,Bachelor of Science in  Animation and VFX
Faculty of Arts & Architecture,111402,School of Creative Arts,BSGD-LHR,Bachelor of Science in Game Design
Faculty of Arts & Architecture,111402,School of Creative Arts,BSMMC-LHR,Bachelor of Science in Media and Mass Communication
Faculty of Arts & Architecture,111402,School of Creative Arts,BSVCD-LHR,Bachelor of Science in Visual Communication Design
Faculty of Arts & Architecture,111402,School of Creative Arts,CGD-LHR,
Faculty of Arts & Architecture,111402,School of Creative Arts,DMMCS-LHR,Doctor of Philosophy in Media and Communication Studies
Faculty of Arts & Architecture,111402,School of Creative Arts,PMMC-LHR,Master of Philosophy in Media and Mass Communication
Faculty of Arts & Architecture,111402,School of Creative Arts,PMMCP-LHR,Master of Philosophy in Media and Mass Communication (Professional Track)
Faculty of Arts & Architecture,111402,School of Creative Arts,PMMCR-LHR,Master of Philosophy in Media and Mass Communication (Research Track)
Faculty of Arts & Architecture,111402,School of Creative Arts,MC-LHR,Master of Science in Mass Communication
Faculty of Arts & Architecture,111402,School of Creative Arts,MSMCS-LHR,Master of Studies in Media and Communication Studies
Faculty of Arts & Architecture,111406,School of Fashion and Textile,BFS-LHR,Bachelor in Fashion and Styling
Faculty of Arts & Architecture,111406,School of Fashion and Textile,BSFD-LHR,Bachelor of Studies in Fashion Design
